country,language,recruiter,N,females,ages,yrs-formal-trng,yrs-non-formal-trng,wiki-vocab,split-half-ARI
Denmark,Danish,Lucid,85,26,43.2 ± std: 16.6,1.4 ± 2.9,2.7 ± 7.6,0.8 ± 0.1,0.74
Egypt,Arabic,Lucid,166,31,35.2 ± std: 11.1,3.2 ± 4.8,2.6 ± 4.1,0.7 ± 0.1,0.66
Finland,Finnish,Lucid,107,40,40.7 ± std: 17.0,0.8 ± 2.3,2.9 ± 7.3,0.8 ± 0.1,0.73
France,French,Lucid,157,85,46.7 ± std: 15.6,1.0 ± 3.1,0.9 ± 3.5,0.8 ± 0.2,0.81
Germany,German,Lucid,229,91,52.3 ± std: 14.2,1.2 ± 4.0,3.8 ± 34.0,0.8 ± 0.1,0.79
Greece,Greek,Lucid,161,56,41.5 ± std: 12.5,0.6 ± 2.0,1.2 ± 3.8,0.9 ± 0.1,0.74
Greece,Greek,Prolific,130,45,31.6 ± std: 9.0,1.0 ± 1.8,2.0 ± 4.3,not applied,0.76
Hungary,Hungarian,Lucid,161,89,48.2 ± std: 14.8,1.2 ± 3.3,1.3 ± 4.0,0.8 ± 0.1,0.74
Indonesia,Indonesian,Lucid,135,67,31.9 ± std: 10.5,2.1 ± 3.8,2.4 ± 4.2,0.8 ± 0.1,0.76
Italy,Italian,Prolific,120,52,32.2 ± std: 9.3,0.8 ± 1.9,1.7 ± 3.5,not applied,0.69
Italy,Italian,Lucid,160,64,47.5 ± std: 13.7,1.8 ± 4.3,1.3 ± 4.8,0.9 ± 0.1,0.74
Japan,Japanese,Lucid,153,43,53.4 ± std: 9.9,0.7 ± 2.3,2.1 ± 6.0,0.9 ± 0.1,0.73
Netherlands,Dutch,Lucid,143,49,51.1 ± std: 16.2,2.2 ± 7.8,2.3 ± 10.4,0.8 ± 0.1,0.76
Norway,Norwegian,Lucid,75,16,40.6 ± std: 17.6,1.9 ± 4.3,2.4 ± 6.3,0.8 ± 0.1,0.69
Poland,Polish,Lucid,168,76,39.4 ± std: 12.9,1.1 ± 3.1,0.7 ± 2.1,0.9 ± 0.1,0.72
Portugal,Portuguese,Lucid,160,71,42.6 ± std: 11.8,0.9 ± 2.5,1.4 ± 5.2,0.8 ± 0.1,0.81
Russian Federation,Russian,Lucid,200,66,47.1 ± std: 12.6,0.8 ± 2.0,0.9 ± 2.9,0.9 ± 0.1,0.73
Russian Federation,Russian,Prolific,141,96,35.7 ± std: 9.4,1.1 ± 3.8,1.9 ± 4.5,0.9 ± 0.1,0.75
Slovakia,Slovak,Lucid,123,44,41.2 ± std: 15.2,1.3 ± 4.5,2.7 ± 6.1,0.9 ± 0.1,0.78
South Korea,Korean,Lucid,85,27,44.0 ± std: 12.3,2.2 ± 4.9,3.2 ± 7.8,0.8 ± 0.1,0.47
Spain,Spanish,Lucid,147,47,44.7 ± std: 13.0,1.5 ± 4.1,1.3 ± 4.1,0.9 ± 0.1,0.77
Suriname,Serbian,Lucid,163,56,43.4 ± std: 12.6,1.8 ± 4.3,1.8 ± 4.5,0.9 ± 0.1,0.76
Sweden,Swedish,Lucid,121,27,43.4 ± std: 17.9,0.9 ± 2.2,1.3 ± 4.1,0.8 ± 0.1,0.74
Thailand,Thai,Lucid,259,100,36.7 ± std: 10.6,4.0 ± 6.7,3.8 ± 6.7,not applied,0.76
Turkey,Turkish,Lucid,156,53,36.2 ± std: 10.4,1.8 ± 4.5,1.7 ± 4.3,0.8 ± 0.1,0.74
Ukraine,Ukrainian,Lucid,190,61,39.4 ± std: 10.5,1.0 ± 2.5,1.3 ± 3.8,0.8 ± 0.1,0.71
United Kingdom,English,Prolific,126,63,42.6 ± std: 14.2,0.7 ± 2.3,3.2 ± 7.9,not applied,0.75
United Kingdom,English,Lucid,176,76,46.6 ± std: 14.1,1.6 ± 4.4,2.3 ± 7.8,0.8 ± 0.1,0.85
Vietnam,Vietnamese,Lucid,154,59,31.4 ± std: 9.2,2.8 ± 4.1,2.2 ± 3.2,0.7 ± 0.1,0.88
25,25,2,4351,1676,41.7 ± 6.1,1.5 ± 3.6,2.0 ± 6.2,0.8 ± 0.1,0.74
